pos index,depth index,current joint depth,current joint position,current joint effort,current torque offset
0,3,0.1262301276,-0.0015070913,0.1501413102,-0.1509837071
0,3,0.1262301276,-0.0015036161,0.150589729,-0.1509837071
1,3,0.1262327202,0.0002614145,0.1977681058,-0.0676958173
2,3,0.1262366091,0.0021766523,0.2322727515,-0.0676958173
3,3,0.1262366091,0.0041961469,0.2559681444,-0.02790455
4,3,0.1262404979,0.0061109985,0.2890567308,-0.02790455
5,3,0.1262456831,0.0079331773,0.3300516485,-0.0309018756
6,3,0.1262456831,0.0096595943,0.3852543615,-0.0309018756
7,3,0.1262482757,0.0113392887,0.4411179022,-0.0100150004
8,3,0.126249572,0.013066864,0.4944561371,-0.0189833762
9,3,0.1262521646,0.0148905874,0.5364658974,-0.0189833762
10,3,0.1262534608,0.0166270439,0.5859099691,-0.0189833762
11,3,0.1262559238,0.0183635004,0.6385637753,0.0047592186
12,3,0.1262573497,0.0199702149,0.7015784156,0.0047592186
13,3,0.1262638312,0.0216557014,0.7596368483,0.0069777116
14,3,0.1262651275,0.0234045142,0.809128122,0.0069777116
15,3,0.1262690163,0.0249838131,0.8773113789,0.016748521
16,3,0.1262716089,0.0266963291,0.9311216336,0.016748521
17,3,0.1262788681,0.0283435881,0.989675687,0.001856297
17,3,0.1262830811,0.0291189504,0.915426976,0.016701319
16,3,0.1262832755,0.0277605217,0.8227222916,-0.1220960967
15,3,0.1262806829,0.0263410834,0.7399300226,-0.1401980551
14,3,0.1262858681,0.0248282001,0.669056253,-0.1401980551
13,3,0.1262884607,0.0233145444,0.594689537,-0.1387347938
12,3,0.1262949421,0.0217804235,0.5240989792,-0.1387347938
11,3,0.1263001273,0.0200818084,0.4677870197,-0.1550430771
10,3,0.1263014236,0.0184577177,0.4065660545,-0.1550430771
9,3,0.1263001273,0.0167672115,0.3498528782,-0.1605185066
8,3,0.126298831,0.0150516064,0.2957358107,-0.1605185066
7,3,0.1262975347,0.0133298231,0.2431056054,-0.1769919968
6,3,0.1262949421,0.0115875745,0.1921274694,-0.1756231395
5,3,0.1262949421,0.009887801,0.137821594,-0.182963047
4,3,0.1262923495,0.0081768296,0.0837989304,-0.182963047
3,3,0.1262871644,0.0062222059,0.0539672805,-0.1456262826
2,3,0.1262806829,0.0039837718,0.050781147,-0.1456262826
1,3,0.1262756922,0.002150395,0.0113910965,-0.0921936437
0,3,0.1262780904,0.0005938782,-0.0591994613,-0.174395888
-1,3,0.1262729052,-0.0010734599,-0.1184851454,-0.2053367845
-2,3,0.1262780904,-0.0026878972,-0.1817829976,-0.2053367845
-3,3,0.1262793866,-0.004411225,-0.2354752473,-0.2154380077
-4,3,0.1262780904,-0.0060526919,-0.2965310055,-0.2154380077
-5,3,0.1262806829,-0.0076987924,-0.3580351826,-0.2145175691
-6,3,0.1262819792,-0.0093869818,-0.4140167282,-0.2145175691
-7,3,0.1262835348,-0.0110882999,-0.467638175,-0.2331151484
-8,3,0.1262871644,-0.0128015881,-0.5222744643,-0.2331151484
-9,3,0.126289757,-0.0143990354,-0.5869647748,-0.2295041971
0,3,0.126195063,-0.000316632,0.0308147104,-0.091650821
1,3,0.1261990167,-0.0018314461,-0.0431743898,-0.091650821
2,3,0.1262046555,-0.003379854,-0.112844509,-0.091650821
3,3,0.1262145721,-0.0049745984,-0.1788800759,-0.1604477036
4,3,0.1262223499,-0.0064766699,-0.2536480087,-0.1604477036
5,3,0.126227535,-0.0080911072,-0.3177954965,-0.180909761
6,3,0.1262288313,-0.0097402968,-0.3777656093,-0.180909761
7,3,0.1262327202,-0.0114365951,-0.4344315836,-0.2100333813
8,3,0.1262417942,-0.0130742006,-0.4948501152,-0.2103637951
9,3,0.1262473035,-0.0146496381,-0.5627029583,-0.2100333813
10,3,0.1262547571,-0.0162324122,-0.6296353628,-0.2192849689
11,3,0.1262612386,-0.0179101759,-0.686395741,-0.2192849689
12,3,0.12626772,-0.0196138108,-0.7404184046,-0.240337051
13,3,0.1262690163,-0.0212282481,-0.8040230697,-0.2474409487
14,3,0.1262742015,-0.0228280122,-0.8707902672,-0.2474409487
15,3,0.1262780904,-0.0244420634,-0.9332148829,-0.2447032339
16,3,0.1262819792,-0.0260483918,-0.9978579914,-0.2447032339
16,4,0.1363971893,-0.0238566803,-0.9216503983,-0.095946201
15,4,0.1363904486,-0.0226557953,-0.8339255226,-0.095946201
14,4,0.1363786524,-0.0213456337,-0.7570571018,-0.095946201
13,4,0.1363684117,-0.0200374027,-0.6828555927,-0.0910135943
12,4,0.1363619303,-0.0186697067,-0.6127842567,-0.0910135943
11,4,0.1363554488,-0.0172058627,-0.5531681587,-0.0803459473
10,4,0.1363476711,-0.0157875828,-0.4874394047,-0.0803459473
9,4,0.1363437822,-0.0144179561,-0.4186425221,-0.0652649154
8,4,0.1363373008,-0.0130742006,-0.3473911366,-0.0652649154
7,4,0.1363334119,-0.0116223268,-0.2850845259,-0.0700087142
6,4,0.1363321156,-0.0101399483,-0.2266012755,-0.0700087142
5,4,0.1363321156,-0.0086795795,-0.1657815271,-0.0651469105
4,4,0.1363334119,-0.0072056959,-0.1075106855,-0.0651469105
3,4,0.1363347082,-0.0057202282,-0.0497354647,-0.0845469233
2,4,0.1363373008,-0.0042768495,0.0149076439,-0.0845469233
1,4,0.1363360045,-0.0026801744,0.06135439,-0.1498744606
0,4,0.136338597,-0.0010645787,0.1066210867,-0.0698671082
0,4,0.136338597,-0.0010549253,0.1057478501,-0.0174257109
1,4,0.1363360045,0.0005560368,0.1503773201,-0.0698671082
2,4,0.136338597,0.0020391876,0.2089313735,-0.0698671082
3,4,0.1363373008,0.0035883678,0.2601219184,-0.0698671082
4,4,0.1363373008,0.0053055175,0.2931633029,-0.0254736481
5,4,0.1363360045,0.007073251,0.3249538349,-0.0308074716
6,4,0.1363360045,0.0087807473,0.3607565351,-0.0308074716
7,4,0.1363338656,0.0104040657,0.4049847883,-0.0174257109
8,4,0.1363334119,0.0120327901,0.448009391,-0.0174257109
9,4,0.1363347082,0.0136526333,0.4922612452,-0.0201398246
10,4,0.1363334119,0.0152786547,0.5358758726,-0.0110062419
11,4,0.1363334119,0.0168892307,0.5813077763,-0.0110062419
12,4,0.1363321156,0.018495173,0.6267632809,0.0022575138
13,4,0.1363347082,0.0200177097,0.6787798604,0.0022575138
14,4,0.1363334119,0.0216479787,0.7237869462,0.0076857413
15,4,0.1363347082,0.0232141489,0.7732074169,0.0076857413
16,4,0.1363360045,0.02469228,0.832445899,0.0109898797
17,4,0.1363376248,0.0262179058,0.887719415,0.0109898797
18,4,0.1363398933,0.0277485515,0.9399956054,0.0021395089
19,4,0.1363411896,0.0292803556,0.9925078057,0.014506427
19,4,0.1363402174,0.030016332,0.919557149,0.014506427
18,4,0.1363398933,0.028789962,0.8364580672,-0.1212228601
17,4,0.1363398933,0.0274693747,0.7612889175,-0.1212228601
16,4,0.1363411896,0.0261248469,0.6894239064,-0.1393012176
15,4,0.1363450785,0.024715062,0.624308778,-0.1393012176
14,4,0.1363450785,0.0233002574,0.560704113,-0.1376963503
13,4,0.1363437822,0.0218406608,0.501088015,-0.1376963503
12,4,0.1363411896,0.0202212038,0.4552548946,-0.1525885743
11,4,0.1363411896,0.0186809047,0.4046779754,-0.1525885743
10,4,0.136338597,0.0171278631,0.3528502038,-0.1562939296
9,4,0.136338597,0.0155389108,0.30574263,-0.1562939296
8,4,0.1363411896,0.013973899,0.2560861493,-0.1721537941
7,4,0.1363398933,0.0123111946,0.2150204287,-0.1721537941
6,4,0.1363373008,0.0106809257,0.1726802546,-0.174537494
5,4,0.1363373008,0.0090274886,0.1304344845,-0.1805085442
4,4,0.1363373008,0.0073837049,0.0884011233,-0.1805085442
3,4,0.1363373008,0.0056866344,0.0508519499,-0.1448710509
2,4,0.136338597,0.0041081078,0.0029655435,-0.1448710509
1,4,0.1363398933,0.0025102743,-0.044920863,-0.0963002158
0,4,0.1363398933,0.0010047275,-0.1013744284,-0.1715401684
-1,4,0.136338597,-0.0005174231,-0.1556803038,-0.2043455429
-2,4,0.1363398933,-0.0019940096,-0.2138803424,-0.2043455429
-3,4,0.1363398933,-0.0035910708,-0.2604450935,-0.2043455429
-4,4,0.1363411896,-0.0051603301,-0.3094171455,-0.2081453021
-5,4,0.1363404767,-0.0066257187,-0.3705673077,-0.2081453021
-6,4,0.1363424859,-0.0081644732,-0.4242359564,-0.2131487118
-7,4,0.1363437822,-0.0096464656,-0.4819875763,-0.2131487118
-8,4,0.1363463748,-0.0111871508,-0.5329893132,-0.231769892
-9,4,0.1363489674,-0.0127344004,-0.5862095432,-0.2253268221
0,4,0.1363702913,8.07025585356461e-05,-0.0073244877,-0.0905415745
1,4,0.1363671802,-0.0011383308,-0.0931848853,-0.0905415745
2,4,0.1363632266,-0.0025554523,-0.1587484324,-0.0905415745
3,4,0.1363632266,-0.004063702,-0.2143995642,-0.1570963632
4,4,0.1363632266,-0.005555734,-0.2697910851,-0.1570963632
5,4,0.1363645228,-0.0069651328,-0.3370303025,-0.1570963632
6,4,0.1363658191,-0.0084818775,-0.3923038185,-0.1790924848
7,4,0.1363658191,-0.0099005435,-0.4579381686,-0.1790924848
8,4,0.136369708,-0.0114211496,-0.5112764035,-0.2060448141
9,4,0.136369708,-0.0129151123,-0.5672815501,-0.2060448141
10,4,0.1363735969,-0.0143318477,-0.6335531269,-0.210552603
11,4,0.136375282,-0.0157632562,-0.6959305405,-0.2173260868
12,4,0.1363761895,-0.0172753673,-0.7514400664,-0.2173260868
13,4,0.1363813746,-0.0187917259,-0.8063595676,-0.2392986075
14,4,0.1363852635,-0.0203100152,-0.8604766351,-0.2392986075
15,4,0.1363930412,-0.0217391069,-0.9233968715,-0.2436647904
16,4,0.1363969301,-0.0232380894,-0.9806292695,-0.2436647904
17,5,0.1465561493,-0.0231732184,-0.9318224245,-0.2472049388
16,5,0.1465533622,-0.0220182837,-0.8528771167,-0.095780994
15,5,0.1465494734,-0.0208359333,-0.7794072383,-0.0895975349
14,5,0.1465455845,-0.0196713452,-0.705606946,-0.0895975349
13,5,0.1465403993,-0.0183974804,-0.6421438869,-0.0895975349
12,5,0.1465339179,-0.0171008335,-0.5788224337,-0.0819744155
11,5,0.1465313253,-0.0157841076,-0.520811203,-0.0819744155
10,5,0.1465248439,-0.0145198962,-0.457064932,-0.063896058
9,5,0.1465222513,-0.0132935262,-0.3884332563,-0.063896058
8,5,0.1465183624,-0.0119841369,-0.3285811485,-0.06823864
7,5,0.1465144735,-0.0105982925,-0.2754553225,-0.06823864
6,5,0.1465131773,-0.0092572399,-0.221125846,-0.0679318271
5,5,0.1465131773,-0.007935108,-0.1610849303,-0.0863878005
4,5,0.1465144735,-0.0065952139,-0.1052921926,-0.0863878005
3,5,0.1465170661,-0.005307062,-0.0433395967,-0.0863878005
2,5,0.1465170661,-0.0038976633,0.0068125047,-0.0863878005
1,5,0.1465196587,-0.0023415326,0.0439604612,-0.146806332
0,5,0.1465196587,-0.0008715104,0.0881651134,-0.0863878005
0,5,0.1465183624,-0.0008626293,0.0863714382,-0.0863878005
1,5,0.146520955,0.0005602843,0.1342814457,-0.0700323152
2,5,0.1465222513,0.001944198,0.1868880499,-0.0700323152
3,5,0.1465235476,0.0033354483,0.2384326096,-0.0700323152
4,5,0.1465261402,0.0048927374,0.2727956495,-0.0302174469
5,5,0.1465274364,0.0065179865,0.3006920183,-0.0302174469
6,5,0.1465339179,0.0081320377,0.3303112594,-0.0308546736
7,5,0.1465378068,0.0096101688,0.3752003403,-0.0308546736
8,5,0.1465391031,0.0111064483,0.4150624105,-0.0175437159
9,5,0.1465403993,0.0125208668,0.4638456545,-0.0175437159
10,5,0.1465425382,0.0140306611,0.5036369218,-0.0218862978
11,5,0.1465468808,0.0153145654,0.5655423157,-0.0077257045
12,5,0.1465493437,0.0165583116,0.6313890747,-0.0077257045
13,5,0.1465507697,0.0180630861,0.6718411696,0.0054200463
14,5,0.1465546585,0.0193940991,0.7306784349,0.0054200463
15,5,0.146560427,0.0208625767,0.773018609,0.0054200463
