pos index,depth index,depth,current joint position,current joint effort,current torque offset
7,1,0.1064694829,0.0121065422,0.5406787727,0.1649746306
8,1,0.1064720754,0.0142816499,0.5740033691,0.1778607705
9,1,0.1064733717,0.0163667878,0.6148802818,0.1796072437
10,1,0.1064750569,0.018605608,0.6426114438,0.1774359527
11,1,0.1064759643,0.0208845865,0.6630026982,0.1774359527
12,1,0.1064811495,0.0230651001,0.6949112351,0.181094106
13,1,0.1064837421,0.0252452276,0.7261353435,0.1856490969
14,1,0.1064850383,0.0274102958,0.7587755111,0.1814717218
15,1,0.1064906124,0.0296680367,0.784547791,0.189566861
16,1,0.1064928161,0.0318095506,0.8203976931,0.189566861
17,1,0.106496705,0.033978094,0.8508665697,0.193885842
18,1,0.1065005938,0.0361443205,0.8858668363,0.1871359592
19,1,0.106505779,0.0383480024,0.9145656388,0.1849882692
20,1,0.1065134919,0.0405404862,0.9440904759,0.1902984917
21,1,0.1065213345,0.0427005346,0.9801291859,0.1902984917
21,1,0.1065356585,0.0433392046,0.9215279305,0.189661265
20,1,0.1065317048,0.0412845715,0.8683549025,0.0992458765
19,1,0.1065291122,0.039319136,0.8177543823,0.0995054874
18,1,0.1065252233,0.037199632,0.7790251596,0.093935654
17,1,0.1065215937,0.0351291673,0.7367557885,0.0983962409
16,1,0.1065200382,0.0330270394,0.6987581963,0.100260719
15,1,0.1065187419,0.0309442184,0.65707885,0.0972161915
14,1,0.1065135567,0.0288278034,0.6185148341,0.0957529302
13,1,0.1065109641,0.0266913094,0.5814612815,0.0957529302
12,1,0.1065086308,0.0245331917,0.5482074882,0.0972869944
11,1,0.1065064271,0.0224055788,0.5119091673,0.0972869944
10,1,0.1065027327,0.020278352,0.4727079247,0.096130546
9,1,0.1064992975,0.0180592247,0.4453779796,0.096130546
8,1,0.1064931402,0.0158617211,0.4165139702,0.0978770192
7,1,0.106486205,0.0138055434,0.3717664953,0.1007327388
6,1,0.1064850383,0.0116300496,0.3384891009,0.0884838256
5,1,0.1064798532,0.0094252093,0.3090114658,0.0809315091
4,1,0.1064799828,0.0070670729,0.295865715,0.0809315091
3,1,0.1064798532,0.0046772732,0.2844900383,0.0962957529
2,1,0.1064811495,0.0024643241,0.2557676349,0.0906787176
1,1,0.1064785569,0.0002868995,0.223599487,0.0906787176
0,1,0.1064759643,-0.0018183175,0.1838318207,0.0906787176
-1,1,0.1064772606,-0.0039660095,0.149279973,0.081214721
-2,1,0.1064772606,-0.0061109985,0.1126984402,0.0731195818
-3,1,0.1064759643,-0.0083424822,0.0863361356,0.064151206
-4,1,0.1064759643,-0.0105426888,0.0568112985,0.0711843007
-5,1,0.1064759643,-0.0127471429,0.0279472891,0.0711843007
-6,1,0.1064759643,-0.0149025576,-0.010026702,0.0702874632
-7,1,0.1064759643,-0.0170745762,-0.0415340222,0.0616495012
-8,1,0.1064759643,-0.019184813,-0.0798384272,0.0679273643
-9,1,0.1064759643,-0.0213869503,-0.1108029246,0.0691782167
0,2,0.1165323229,-0.0023828492,0.2410878198,0.0691782167
1,2,0.1165338784,-0.0043092849,0.2055919325,0.1008979457
2,2,0.1165325821,-0.0061666022,0.1637473792,0.1008979457
3,2,0.1165312858,-0.0080829984,0.1281334869,0.0856753079
4,2,0.1165312858,-0.0099739095,0.0914103482,0.0856753079
5,2,0.1165312858,-0.011888375,0.0545220026,0.085462899
6,2,0.1165325821,-0.0137928009,0.0170200312,0.0797042577
7,2,0.1165325821,-0.0156690389,-0.022936443,0.0697210394
8,2,0.1165325821,-0.0175696034,-0.0593999708,0.0697210394
9,2,0.1165325821,-0.019433485,-0.1002296816,0.07068868
10,2,0.1165325821,-0.0213927423,-0.1328698492,0.0668181178
11,2,0.1165325821,-0.0233299899,-0.1656988248,0.0668181178
12,2,0.1165312858,-0.0252931086,-0.1968521301,0.0630655606
13,2,0.1165312858,-0.0272450293,-0.2287134651,0.0622631269
14,2,0.1165325821,-0.0291930887,-0.2598667704,0.0672665366
15,2,0.1165325821,-0.0311083264,-0.2964483032,0.0672665366
